source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
MEM	LAX	8	cargo	OpenFlights-2014	0	0.1500			KMEM	KLAX	DL	3473	3484
AMS	LHR	0	international	OpenSky-2020-01	868	0.8050	2020-01-01 06:38:50+00:00	BAW	EHAM	EGLL			
ORD	DFW	0	domestic	OpenSky-2020-01	1170	0.8405	2019-12-31 18:53:03+00:00	AAL	KORD	KDFW			
ISB	DXB	0	international	OpenFlights-2014	0	0.1500			OPIS	OMDB	EK	2223	2188
KHI	DXB	0	international	OpenFlights-2014	0	0.1500			OPKC	OMDB	EK	2206	2188
LHE	DOH	0	international	OpenFlights-2014	0	0.1500			OPLA	OTHH	PK	2207	11051
DAC	DEL	0	international	OpenFlights-2014	0	0.1500			VGHS	VIDP	9W	3076	3093
CGP	DAC	0	domestic	OpenFlights-2014	0	0.1500			VGEG	VGHS	4H	3069	3076
MAA	CMB	0	international	OpenSky-2020-01	400	0.7130	2020-01-01 01:01:18+00:00	ALK	VOMM	VCBI	AI	3144	3024
KTM	KUL	0	international	OpenSky-2020-01	134	0.5835	2020-01-02 11:30:11+00:00	MXD	VNKT	WMKK	D7	3125	3304
MLE	CMB	0	international	OpenFlights-2014	0	0.1500			VRMM	VCBI	BA	3156	3024
PBH	KTM	0	international	OpenFlights-2014	0	0.1500			VQPR	VNKT	KB	3155	3125
KBL	DEL	0	international	OpenFlights-2014	0	0.1500			OAKB	VIDP	4Q	2050	3093
DEL	CCU	0	domestic	OpenSky-2020-01	1668	0.8826	2019-12-31 23:12:24+00:00	IGO	VIDP	VECC			
HYD	DXB	0	international	OpenFlights-2014	0	0.1500			VOHS	OMDB	6E	\N	2188
COK	SIN	0	international	OpenFlights-2014	0	0.1500			VOCI	WSSS	MI	3136	3316
AMD	DEL	0	domestic	OpenFlights-2014	0	0.1500			VAAH	VIDP	6E	2994	3093
MEL	ADL	0	domestic	OpenSky-2020-01	1161	0.8396	2019-12-31 23:15:08+00:00	VOZ	YMML	YPAD			
SYD	CBR	0	domestic	OpenSky-2020-01	1084	0.8314	2019-12-31 23:21:47+00:00	QLK	YSSY	YSCB			
DRW	SIN	0	international	OpenFlights-2014	0	0.1500			YPDN	WSSS	3K	3999	3316
HBA	MEL	0	domestic	OpenSky-2020-01	742	0.7864	2019-12-31 23:20:17+00:00	JST	YMHB	YMML	JQ	3336	3339
OOL	SYD	0	domestic	OpenSky-2020-01	1144	0.8378	2019-12-31 23:19:16+00:00	JST	YBCG	YSSY			
NAN	SYD	0	international	OpenFlights-2014	0	0.1500			NFFN	YSSY	FJ	1960	3361
POM	BNE	0	international	OpenFlights-2014	0	0.1500			AYPY	YBBN	CG	5	3320
ACC	LOS	0	international	OpenFlights-2014	0	0.1500			DGAA	DNMM	3G	248	273
CMN	CDG	0	international	OpenSky-2020-01	185	0.6216	2020-01-01 07:07:42+00:00	AFR	GMMN	LFPG	AF	1074	1382
ALG	CDG	0	international	OpenSky-2020-01	465	0.7309	2020-01-01 05:14:19+00:00	DAH	DAAG	LFPG			
TUN	CAI	0	international	OpenFlights-2014	0	0.1500			DTTA	HECA	MS	287	1128
DAR	NBO	0	international	OpenFlights-2014	0	0.1500			HTDA	HKJK	IY	1177	4059
CDG	FCO	0	international	OpenSky-2020-01	613	0.7637	2020-01-01 05:31:53+00:00	AFR	LFPG	LIRF			
PMI	BCN	0	domestic	OpenSky-2020-01	561	0.7532	2020-01-01 06:04:40+00:00	VLG	LEPA	LEBL			
FCO	ATH	0	international	OpenSky-2020-01	255	0.6596	2020-01-01 04:05:20+00:00	AZA	LIRF	LGAV			
LIS	MAD	0	international	OpenSky-2020-01	649	0.7705	2020-01-01 07:00:07+00:00	TAP	LPPT	LEMD			
CDG	WAW	0	international	OpenSky-2020-01	373	0.7047	2020-01-01 06:40:25+00:00	LOT	LFPG	EPWA			
VIE	KBP	0	international	OpenSky-2020-01	196	0.6285	2020-01-01 07:35:58+00:00	AUA	LOWW	UKBB			
RIX	SVO	0	international	OpenSky-2020-01	483	0.7354	2020-01-01 00:31:25+00:00	AFL	EVRA	UUEE			
PTY	MIA	0	international	OpenFlights-2014	0	0.1500			MPTO	KMIA	AA	1871	3576
HAV	MEX	0	international	OpenFlights-2014	0	0.1500			MUHA	MMMX	4O	1909	1824
TLV	FCO	0	international	OpenSky-2020-01	294	0.6765	2020-01-01 03:43:14+00:00	AZA	LLBG	LIRF			
DXB	BEY	0	international	OpenSky-2020-01	323	0.6877	2019-12-31 23:08:44+00:00	MEA	OMDB	OLBA	EK	2188	2177
AMM	CAI	0	international	OpenFlights-2014	0	0.1500			OJAI	HECA	MS	2170	1128
MCT	DXB	0	international	OpenFlights-2014	0	0.1500			OOMS	OMDB	EK	2194	2188
SGN	HAN	0	domestic	OpenFlights-2014	0	0.1500			VVTS	VVNB	BL	3205	3199
RGN	BKK	0	international	OpenFlights-2014	0	0.1500			VYYY	VTBS	8M	3239	3885
HEA	KBL	0	domestic	OpenFlights-2014	0	0.1500			OAHR	OAKB	4Q	2048	2050
KBL	KDH	0	domestic	OpenFlights-2014	0	0.1500			OAKB	OAKN	FG	2050	2051
KBL	MZR	0	domestic	OpenFlights-2014	0	0.1500			OAKB	OAMS	4Q	2050	2053
DXB	LAD	0	international	OpenFlights-2014	0	0.1500			OMDB	FNLU	DT	2188	951
FCO	TIA	0	international	OpenFlights-2014	0	0.1500			LIRF	LATI	AZ	1555	1190
BOM	AUH	0	international	OpenSky-2020-01	179	0.6177	2019-12-31 23:21:14+00:00	ETD	VABB	OMAA	9W	2997	2179
EVN	SVO	0	international	OpenSky-2020-01	430	0.7216	2020-01-01 00:43:54+00:00	AFL	UDYZ	UUEE			
ASP	SYD	0	domestic	OpenFlights-2014	0	0.1500			YBAS	YSSY	AA	3319	3361
BME	PER	0	domestic	OpenFlights-2014	0	0.1500			YBRM	YPPH	QF	4319	3351
CNS	BNE	0	domestic	OpenSky-2020-01	765	0.7900	2019-12-31 20:46:53+00:00	VOZ	YBCS	YBBN	AA	3322	3320
BNE	ISA	0	domestic	OpenFlights-2014	0	0.1500			YBBN	YBMA	QF	3320	3324
PER	PHE	0	domestic	OpenFlights-2014	0	0.1500			YPPH	YPPD	QF	3351	3349
BNE	TSV	0	domestic	OpenFlights-2014	0	0.1500			YBBN	YBTL	AA	3320	3330
FRA	GYD	0	international	OpenFlights-2014	0	0.1500			EDDF	UBBB	J2	340	2922
KGL	BJM	0	international	OpenFlights-2014	0	0.1500			HRYR	HBBA	AF	1165	1120
BRU	LHR	0	international	OpenSky-2020-01	390	0.7100	2020-01-01 06:46:49+00:00	BAW	EBBR	EGLL			
COO	ABJ	0	international	OpenFlights-2014	0	0.1500			DBBB	DIAP	AC	245	253
ABJ	OUA	0	international	OpenFlights-2014	0	0.1500			DIAP	DFFD	2J	253	246
BZL	DAC	0	domestic	OpenFlights-2014	0	0.1500			VGBR	VGHS	4H	6176	3076
CXB	DAC	0	domestic	OpenFlights-2014	0	0.1500			VGCB	VGHS	4H	3068	3076
DAC	JSR	0	domestic	OpenFlights-2014	0	0.1500			VGHS	VGJR	4H	3076	3071
RJH	DAC	0	domestic	OpenFlights-2014	0	0.1500			VGRJ	VGHS	4H	3072	3076
DAC	SPD	0	domestic	OpenFlights-2014	0	0.1500			VGHS	VGSD	4H	3076	3073
DAC	ZYL	0	domestic	OpenFlights-2014	0	0.1500			VGHS	VGSY	4H	3076	3074
ATH	SOF	0	international	OpenFlights-2014	0	0.1500			LGAV	LBSF	A3	3941	1194
ATL	NAS	0	international	OpenFlights-2014	0	0.1500			KATL	MYNN	AF	3682	1953
IST	SJJ	0	international	OpenFlights-2014	0	0.1500			LTFM	LQSA	JA	1701	1646
MSQ	SVO	0	international	OpenSky-2020-01	325	0.6884	2020-01-01 02:46:10+00:00	AFL	UMMS	UUEE			
BZE	DFW	0	international	OpenFlights-2014	0	0.1500			MZBZ	KDFW	AA	1957	3670
LIM	LPB	0	international	OpenFlights-2014	0	0.1500			SPIM	SLLP	AM	2789	2762
GBE	JNB	0	international	OpenFlights-2014	0	0.1500			FBSK	FAOR	BP	881	813
DLA	BGF	0	international	OpenFlights-2014	0	0.1500			FKKD	FEFF	AT	897	888
ZRH	LHR	0	international	OpenSky-2020-01	766	0.7902	2020-01-01 06:07:17+00:00	SWR	LSZH	EGLL			
SZX	CKG	0	domestic	OpenSky-2020-01	734	0.7851	2019-12-31 22:25:33+00:00	CSZ	ZGSZ	ZUCK			
CTU	PVG	0	domestic	OpenFlights-2014	0	0.1500			ZUUU	ZSPD	3U	3395	3406
CAN	HGH	0	domestic	OpenFlights-2014	0	0.1500			ZGGG	ZSHC	AF	3370	3386
CTU	KMG	0	domestic	OpenFlights-2014	0	0.1500			ZUUU	ZPPP	3U	3395	3382
PVG	XIY	0	domestic	OpenFlights-2014	0	0.1500			ZSPD	ZLXY	CA	3406	3379
SIN	XMN	0	international	OpenSky-2020-01	1	0.1500	2020-01-20 01:09:43+00:00	CXA	WSSS	ZSAM			
SJO	MIA	0	international	OpenSky-2020-01	411	0.7162	2019-12-31 22:20:52+00:00	AAL	MROC	KMIA			
TLV	LCA	0	international	OpenSky-2020-01	11	0.2956	2020-01-02 13:11:03+00:00	ELY	LLBG	LCLK			
SVO	PRG	0	international	OpenSky-2020-01	426	0.7205	2019-12-31 22:28:39+00:00	AFL	UUEE	LKPR			
MUC	DUS	0	domestic	OpenSky-2020-01	1063	0.8291	2020-01-01 08:01:12+00:00	DLH	EDDM	EDDL			
ADD	JIB	0	international	OpenFlights-2014	0	0.1500			HAAB	HDAM	ET	1107	4119
CPH	ARN	0	international	OpenSky-2020-01	1027	0.8250	2020-01-01 06:22:33+00:00	SAS	EKCH	ESSA			
PUJ	YYZ	0	international	OpenSky-2020-01	132	0.5817	2019-12-31 20:18:47+00:00	SWG	MDPC	CYYZ			
BOG	UIO	0	international	OpenSky-2020-01	30	0.4085	2020-01-01 01:50:06+00:00	GLG	SKBO	SEQM	2K	2709	2688
ASM	JED	0	international	OpenFlights-2014	0	0.1500			HHAS	OEJN	UE	3967	2072
TLL	HEL	0	international	OpenSky-2020-01	355	0.6989	2020-01-01 09:56:49+00:00	FIN	EETN	EFHK			
DLA	LBV	0	international	OpenFlights-2014	0	0.1500			FKKD	FOOL	QC	897	970
LGW	DUB	0	international	OpenSky-2020-01	705	0.7803	2020-01-01 06:37:13+00:00	RYR	EGKK	EIDW			
DUB	MAN	0	international	OpenSky-2020-01	647	0.7701	2020-01-01 06:46:36+00:00	RYR	EIDW	EGCC			
TBS	TLV	0	international	OpenFlights-2014	0	0.1500			UGTB	LLBG	6H	3973	1590
CKY	DKR	0	international	OpenFlights-2014	0	0.1500			GUCY	GOOY	AC	4162	1084
AMS	BJL	0	international	OpenSky-2020-01	32	0.4159	2020-01-01 07:07:58+00:00	TFL	EHAM	GBYD			
BJL	OXB	0	international	OpenSky-2020-01	1	0.1500	2020-01-24 17:59:04+00:00	SZN	GBYD	GGOV			
DLA	SSG	0	international	OpenFlights-2014	0	0.1500			FKKD	FGSL	AF	897	891
GOH	KEF	0	international	OpenFlights-2014	0	0.1500			BGGH	BIKF	GL	8	16
LAX	GUA	0	international	OpenSky-2020-01	39	0.4388	2019-12-31 19:54:59+00:00	DAL	KLAX	MGGT			
GEO	YYZ	0	international	OpenFlights-2014	0	0.1500			SYCJ	CYYZ	BW	4304	193
MIA	SAP	0	international	OpenFlights-2014	0	0.1500			KMIA	MHLM	AA	3576	1772
FRA	DBV	0	international	OpenFlights-2014	0	0.1500			EDDF	LDDU	DE	340	1200
JFK	PAP	0	international	OpenFlights-2014	0	0.1500			KJFK	MTPP	AA	3797	1897
FRA	BUD	0	international	OpenSky-2020-01	340	0.6937	2020-01-01 07:43:43+00:00	DLH	EDDF	LHBP			
CCJ	DXB	0	international	OpenFlights-2014	0	0.1500			VOCL	OMDB	AI	3137	2188
DEL	GAU	0	domestic	OpenFlights-2014	0	0.1500			VIDP	VEGT	6E	3093	6173
BOM	GOI	0	domestic	OpenFlights-2014	0	0.1500			VABB	VOGO	6E	2997	3007
BOM	JAI	0	domestic	OpenFlights-2014	0	0.1500			VABB	VIJP	6E	2997	3098
DEL	LKO	0	domestic	OpenFlights-2014	0	0.1500			VIDP	VILK	6E	3093	3105
PNQ	DEL	0	domestic	OpenSky-2020-01	1002	0.8221	2019-12-31 23:35:15+00:00	IGO	VAPO	VIDP	6E	3017	3093
TRV	BLR	0	domestic	OpenSky-2020-01	71	0.5087	2020-01-04 02:28:51+00:00	IGO	VOTV	VOBL			
JED	THR	0	international	OpenFlights-2014	0	0.1500			OEJN	OIII	SV	2072	2131
ARN	EBL	0	international	OpenFlights-2014	0	0.1500			ESSA	ORER	ST	737	3989
MBJ	ATL	0	international	OpenFlights-2014	0	0.1500			MKJS	KATL	AF	1780	3682
ALA	SVO	0	international	OpenSky-2020-01	129	0.5790	2020-01-01 10:15:03+00:00	AFL	UAAA	UUEE			
ICN	REP	0	international	OpenFlights-2014	0	0.1500			RKSI	KH-0003	DL	3930	3035
JED	KWI	0	international	OpenFlights-2014	0	0.1500			OEJN	OKKK	FG	2072	2176
BKK	VTE	0	international	OpenFlights-2014	0	0.1500			VTBS	VLVT	LF	3885	3120
FNA	ROB	0	international	OpenFlights-2014	0	0.1500			GFLL	GLRB	3G	1059	1063
TIP	TUN	0	international	OpenFlights-2014	0	0.1500			LY-0019	DTTA	8U	1157	287
BTC	GIU	0	domestic	OpenFlights-2014	0	0.1500			VCCB	VCCS	UL	\N	9229
HRI	CMB	0	domestic	OpenFlights-2014	0	0.1500			VCRI	VCBI	EY	8949	3024
CMB	KCT	0	domestic	OpenFlights-2014	0	0.1500			VCBI	VCCK	UL	3024	6169
GIU	TRR	0	domestic	OpenFlights-2014	0	0.1500			VCCS	VCCT	UL	9229	3030
JNB	MSU	0	international	OpenFlights-2014	0	0.1500			FAOR	FXMM	SA	813	1018
WAW	VNO	0	international	OpenSky-2020-01	34	0.4229	2020-01-01 13:27:32+00:00	LOT	EPWA	EYVI			
MUC	LUX	0	international	OpenSky-2020-01	262	0.6628	2020-01-01 14:40:34+00:00	LGL	EDDM	ELLX			
KIV	OTP	0	international	OpenFlights-2014	0	0.1500			LUKK	LROP	9U	1735	1657
CDG	TNR	0	international	OpenFlights-2014	0	0.1500			LFPG	FMMI	AF	1382	918
SKP	ZRH	0	international	OpenFlights-2014	0	0.1500			LWSK	LSZH	4T	1737	1678
CDG	BKO	0	international	OpenSky-2020-01	19	0.3564	2020-01-01 10:29:11+00:00	AFR	LFPG	GABS			
FCO	TGD	0	international	OpenFlights-2014	0	0.1500			LIRF	LYPG	AZ	1555	1741
PEK	ULN	0	international	OpenFlights-2014	0	0.1500			ZBAA	ZMUB	CA	3364	3380
JNB	MPM	0	international	OpenFlights-2014	0	0.1500			FAOR	FQMA	QR	813	979
DKR	NKC	0	international	OpenFlights-2014	0	0.1500			GOOY	GQNO	DN	1084	1094
LLW	LUN	0	international	OpenFlights-2014	0	0.1500			FWKI	FLLS	AF	1016	907
JNB	WDH	0	international	OpenFlights-2014	0	0.1500			FAOR	FYWH	BA	813	4105
NOU	SYD	0	international	OpenFlights-2014	0	0.1500			NWWW	YSSY	QF	2005	3361
NIM	OUA	0	international	OpenFlights-2014	0	0.1500			DRRN	DFFD	2J	280	246
MGA	SJO	0	international	OpenFlights-2014	0	0.1500			MNMG	MROC	5C	1863	1885
OSL	ARN	0	international	OpenSky-2020-01	833	0.8001	2020-01-01 05:47:31+00:00	SAS	ENGM	ESSA			
BDP	KTM	0	domestic	OpenFlights-2014	0	0.1500			VNCG	VNKT	YT	6180	3125
BHR	KTM	0	domestic	OpenFlights-2014	0	0.1500			VNBP	VNKT	YT	6179	3125
BIR	KTM	0	domestic	OpenFlights-2014	0	0.1500			VNVT	VNKT	YT	3129	3125
BWA	KTM	0	domestic	OpenSky-2020-01	10	0.2852	2020-01-03 10:28:43+00:00	BHA	VNBW	VNKT	YT	3122	3125
DHI	KTM	0	domestic	OpenFlights-2014	0	0.1500			VNDH	VNKT	YT	4188	3125
JKR	KTM	0	domestic	OpenFlights-2014	0	0.1500			VNJP	VNKT	YT	\N	3125
KEP	KTM	0	domestic	OpenFlights-2014	0	0.1500			VNNG	VNKT	YT	6182	3125
KTM	PKR	0	domestic	OpenFlights-2014	0	0.1500			VNKT	VNPK	YT	3125	3127
KTM	TMI	0	domestic	OpenFlights-2014	0	0.1500			VNKT	VNTR	YT	3125	4183
AKL	BHE	0	domestic	OpenFlights-2014	0	0.1500			NZAA	NZWB	NZ	2006	2037
AKL	DUD	0	domestic	OpenSky-2020-01	1	0.1500	2020-01-23 18:37:25+00:00	ANZ	NZAA	NZDN	JQ	2006	2011
HLZ	WLG	0	domestic	OpenSky-2020-01	126	0.5762	2020-01-01 02:32:08+00:00	NZM	NZHN	NZWN			
AKL	NPE	0	domestic	OpenFlights-2014	0	0.1500			NZAA	NZNR	NZ	2006	4095
AKL	NPL	0	domestic	OpenFlights-2014	0	0.1500			NZAA	NZNP	NZ	2006	2023
AKL	NSN	0	domestic	OpenFlights-2014	0	0.1500			NZAA	NZNS	NZ	2006	2024
PMR	AKL	0	domestic	OpenSky-2020-01	394	0.7112	2020-01-05 06:33:25+00:00	NZM	NZPM	NZAA	NZ	2028	2006
AKL	ROT	0	domestic	OpenSky-2020-01	192	0.6260	2020-01-01 03:21:20+00:00	RLK	NZAA	NZRO	NZ	2006	2031
TRG	AKL	0	domestic	OpenSky-2020-01	231	0.6479	2020-01-01 02:25:21+00:00	RLK	NZTG	NZAA	NZ	2034	2006
AKL	TUO	0	domestic	OpenSky-2020-01	67	0.5019	2019-12-31 23:51:08+00:00	RLK	NZAA	NZAP	NZ	2006	2007
AKL	WRE	0	domestic	OpenSky-2020-01	135	0.5844	2020-01-01 02:28:52+00:00	RLK	NZAA	NZWR	NZ	2006	2045
SYD	ZQN	0	international	OpenFlights-2014	0	0.1500			YSSY	NZQN	EK	3361	2030
BHV	DXB	0	international	OpenSky-2020-01	8	0.2614	2020-01-08 10:28:45+00:00	UAF	OPBW	OMDB			
DEA	KHI	0	domestic	OpenFlights-2014	0	0.1500			OPDG	OPKC	PK	5942	2206
GWD	MCT	0	international	OpenFlights-2014	0	0.1500			OPGD	OOMS	PK	2203	2194
KHI	MJD	0	domestic	OpenFlights-2014	0	0.1500			OPKC	OPMJ	PK	2206	2212
DXB	MUX	0	international	OpenSky-2020-01	108	0.5581	2020-01-01 03:36:19+00:00	FDB	OMDB	OPMT	FZ	2188	2214
KHI	PEW	0	domestic	OpenFlights-2014	0	0.1500			OPKC	OPPS	I6	2206	2219
PZH	UET	0	domestic	OpenFlights-2014	0	0.1500			OPZB	OPQT	PK	2233	2221
KHI	RYK	0	domestic	OpenFlights-2014	0	0.1500			OPKC	OPRK	PK	2206	2222
DXB	SKT	0	international	OpenFlights-2014	0	0.1500			OMDB	OPST	EK	2188	6776
ISB	SKZ	0	domestic	OpenFlights-2014	0	0.1500			OPIS	OPSK	NL	2223	2227
MCT	TUK	0	international	OpenFlights-2014	0	0.1500			OOMS	OPTU	PK	2194	5951
SJU	MIA	0	international	OpenSky-2020-01	55	0.4788	2020-01-01 13:07:02+00:00	AAL	TJSJ	KMIA			
FNJ	PEK	0	international	OpenFlights-2014	0	0.1500			ZKPY	ZBAA	CA	3377	3364
ASU	GRU	0	international	OpenFlights-2014	0	0.1500			SGAS	SBGR	G3	2699	2564
DME	MUC	0	international	OpenSky-2020-01	316	0.6851	2020-01-01 02:55:26+00:00	SBI	UUDD	EDDM			
CMN	EUN	0	international	OpenFlights-2014	0	0.1500			GMMN	GMML	AT	1074	5672
DXB	KRT	0	international	OpenFlights-2014	0	0.1500			OMDB	HSSK	EK	2188	1175
CAI	JUB	0	international	OpenFlights-2014	0	0.1500			HECA	HJJJ	MS	1128	1173
HIR	VLI	0	international	OpenFlights-2014	0	0.1500			AGGH	NVVV	FJ	4074	1997
DFW	SAL	0	international	OpenFlights-2014	0	0.1500			KDFW	MSLP	AA	3670	1892
JIB	MGQ	0	international	OpenFlights-2014	0	0.1500			HDAM	HCMM	3J	4119	5687
BEG	SVO	0	international	OpenSky-2020-01	107	0.5570	2019-12-31 22:17:08+00:00	AFL	LYBE	UUEE			
PBM	POS	0	international	OpenFlights-2014	0	0.1500			SMJP	TTPP	7I	2773	2902
DUB	BTS	0	international	OpenSky-2020-01	48	0.4630	2020-01-02 06:35:52+00:00	RYR	EIDW	LZIB			
LJU	FRA	0	international	OpenSky-2020-01	91	0.5379	2020-01-01 08:31:46+00:00	DLH	LJLJ	EDDF			
DLA	NDJ	0	international	OpenFlights-2014	0	0.1500			FKKD	FTTJ	ET	897	999
ABJ	LFW	0	international	OpenFlights-2014	0	0.1500			DIAP	DXXX	ET	253	298
DYU	IST	0	international	OpenFlights-2014	0	0.1500			UTDD	LTFM	7J	2979	1701
ASB	IST	0	international	OpenFlights-2014	0	0.1500			UTAA	LTFM	T5	2976	1701
KGL	EBB	0	international	OpenFlights-2014	0	0.1500			HRYR	HUEN	AC	1165	1187
GRU	MVD	0	international	OpenFlights-2014	0	0.1500			SBGR	SUMU	5Q	2564	2816
CLT	ATL	0	domestic	OpenSky-2020-01	649	0.7705	2020-01-01 03:31:53+00:00	DAL	KCLT	KATL	AA	3876	3682
